codal;na;mg;P;k;Ca;Mn;Fe;Cu;Zn;Se;Iode;glucides;glus;energie;fibres;eau;lipides;ags;agp;LAom6;ALAom3;om3epa;om3dha;ret;bcar;vitd;vite;vitc;vitb1;vitb2;vitb5;vitb6;vitb12;vitb9;alcool;chol;Phytates;epadha;vita;vitb3_en;MFP;eq_thenoir;fer_nonhem;fer_hem;mg_dis;energie_d;qte_d;glus_slac;proteines_d;proteines_N_d
25151;406.00;20.40;66.00;212.00;39.40;0.2000;0.400;0.0500;0.4200;13.000;50.00;27.90;4.300;260.00;2.9000;48.300;13.000;9.7000;0.9000;0.5200;0.1500;0.08700;0.12000;86.00;280.00;2.500;1.380;0.000;0.0870;0.0690;0.3500;0.2200;0.7700;8.00;0.0000;59.20;70;0.20700;109.33;4.1609;17.00;0.00000;0.376;0.02441;0.00;260.00;100;3.8393;6.4384;6.4384
25156;383.00;21.70;165.00;112.00;141.00;0.2000;1.000;0.3000;0.7000;13.000;5.20;18.70;0.800;167.80;2.7000;53.100;6.500;3.3500;0.9200;0.6810;0.0575;0.00387;0.00419;23.00;15.00;0.050;0.100;0.200;0.0700;0.1300;0.4700;0.0400;0.6000;11.40;0.0000;49.00;100;0.00806;24.25;1.7764;0.00;0.00000;1.000;0.00000;0.00;167.80;100;0.0000;8.3881;8.3881
25159;394.00;14.70;102.00;211.00;5.10;0.0500;1.600;0.1000;3.0000;1.000;2.00;4.50;2.400;132.00;0.5000;73.000;6.830;2.7300;0.5200;0.4600;0.0420;0.00310;0.00470;4.00;700.00;0.250;0.710;0.250;0.0700;0.1600;0.2300;0.1900;1.6500;24.00;0.0000;57.80;100;0.00780;62.33;5.5299;71.00;0.00000;0.896;0.70432;0.00;132.00;100;2.4000;12.7850;12.7850
25162;248.00;16.60;65.50;175.00;83.10;0.1300;0.510;0.0870;0.4900;1.800;4.03;3.08;1.890;102.00;2.1400;82.200;7.920;4.0400;0.9300;0.1600;0.0250;0.00160;0.00710;26.90;567.00;0.084;1.840;12.600;0.0510;0.0720;0.2700;0.1100;0.1200;41.00;0.0000;19.70;100;0.00870;74.15;1.2275;0.00;0.00000;0.510;0.00000;0.00;102.00;100;1.6879;3.4931;3.4931
25163;452.00;26.90;172.00;326.00;29.00;0.1500;2.200;0.0830;2.8800;5.660;9.01;3.66;2.000;209.00;0.6300;62.000;13.300;4.8000;0.4300;0.2400;0.0430;0.00950;0.01200;19.30;160.00;0.200;0.380;6.940;0.0720;0.1000;0.4800;0.2300;1.2300;25.80;0.0000;37.00;0;0.02150;32.63;4.9792;100.00;0.00000;1.780;0.42020;0.00;209.00;100;1.7352;18.5000;18.5000
25172;316.00;15.10;189.00;209.00;18.60;0.0600;1.400;0.0800;3.0000;4.100;7.10;3.30;0.700;105.00;0.5000;74.900;4.200;1.6300;0.5800;0.3196;0.0251;0.00240;0.00312;36.70;448.00;0.500;0.600;0.800;0.0600;0.1700;0.5000;0.2500;1.0000;13.70;0.1000;76.00;0;0.00552;74.03;5.2586;47.12;0.00000;0.991;0.40900;0.00;105.00;100;0.6921;13.1549;13.1549
25173;394.00;24.30;183.00;328.00;28.70;0.1200;1.110;0.0700;2.2600;6.950;7.97;12.70;0.490;271.00;0.9400;47.800;14.100;2.4200;3.8700;1.7300;0.1300;0.01000;0.01300;12.90;0.88;0.130;3.320;0.006;0.1200;0.2300;0.5300;0.2800;0.7200;15.30;0.0000;72.40;14;0.02300;12.97;10.0112;63.95;0.00000;0.670;0.44010;0.00;271.00;100;0.2888;22.7994;22.7994
25174;424.00;23.00;140.00;280.00;31.00;0.1600;0.590;0.0500;0.4700;10.000;10.00;4.94;3.200;164.00;1.1000;67.900;9.900;5.5100;1.3000;1.2200;0.0700;0.00500;0.00500;34.60;107.00;0.670;1.000;2.170;0.0250;0.0440;0.7900;0.2000;0.1800;76.40;0.0000;45.30;100;0.01000;43.52;8.1285;79.70;0.00000;0.472;0.11756;0.00;164.00;100;1.5158;13.1941;13.1941
25400;595.00;22.90;200.00;189.00;248.00;0.2900;0.500;0.0730;1.5100;1.680;11.10;26.10;2.140;270.00;2.4500;44.900;12.900;6.5000;1.4400;1.1400;0.2900;0.00000;0.00000;44.50;62.00;0.150;0.550;0.020;0.2000;0.1600;0.3700;0.0000;0.3900;23.10;0.0000;29.80;24;0.00000;49.67;3.7495;24.00;0.00000;0.451;0.04896;0.00;270.00;100;1.4391;11.1919;11.1919
25401;412.00;14.90;172.00;139.00;119.00;0.2200;1.400;0.1100;0.5400;1.400;7.20;32.30;2.920;308.00;1.1800;42.000;16.900;9.0600;1.0700;0.9700;0.1000;0.00000;0.00000;166.00;80.00;0.820;1.380;0.300;0.0700;0.1400;0.2500;0.0600;0.5000;7.00;0.0000;16.70;70;0.00000;172.67;1.8450;0.00;0.00000;1.400;0.00000;0.00;308.00;100;2.5724;5.9529;5.9529
25402;610.00;18.60;38.80;199.00;15.60;0.1600;1.650;0.0900;1.4900;5.630;7.10;27.60;1.240;355.00;1.6300;36.700;22.600;10.6000;2.4000;1.9500;0.1800;0.00087;0.00220;86.00;80.00;0.820;1.380;0.300;0.0870;0.1000;0.3500;0.0780;0.5000;7.40;0.0000;64.20;70;0.00307;92.67;2.2027;44.00;0.00000;1.284;0.36617;0.00;355.00;100;1.1099;9.4899;9.4899
25403;650.00;13.00;99.00;146.00;24.00;0.0930;2.360;0.0780;2.0200;6.640;7.00;16.70;7.200;242.00;1.8300;54.000;14.100;5.3000;1.7400;0.9500;0.1900;0.00470;0.00570;0.00;62.00;0.210;0.600;0.100;0.2400;0.2800;0.5200;0.0500;0.5200;30.00;0.0000;45.00;24;0.01040;5.17;5.7389;50.00;0.00000;1.879;0.48144;0.00;242.00;100;7.0560;11.0014;11.0014
25404;493.00;22.90;286.00;170.00;239.00;0.2500;1.140;0.0970;1.5200;2.250;17.00;29.60;2.720;226.00;1.6700;49.300;7.640;3.4000;1.3700;1.2600;0.1100;0.00000;0.00000;64.00;97.00;0.000;1.290;5.500;0.2400;0.1700;0.2100;0.0860;0.5500;40.00;0.0000;17.20;70;0.00000;72.08;3.6871;0.00;0.00000;1.140;0.00000;0.00;226.00;100;2.6470;8.7600;8.9170
25405;503.00;17.80;116.00;171.00;116.00;0.0970;0.630;0.0470;0.8000;5.000;31.00;21.00;2.670;274.00;1.2900;54.600;16.800;8.6300;1.5200;1.3000;0.1100;0.00330;0.01300;52.30;149.00;1.210;1.550;0.710;0.1300;0.1500;0.3700;0.1000;0.3000;14.80;0.0000;95.40;70;0.01630;64.72;2.3050;11.00;0.00000;0.602;0.02827;0.00;274.00;100;0.5026;8.8434;8.8434
25409;236.00;16.90;74.60;220.00;41.00;0.2200;0.730;0.1000;0.8800;9.000;5.00;24.30;2.470;173.00;1.2000;60.400;5.330;1.6500;1.3200;1.2200;0.0760;0.00029;0.00250;40.30;149.00;0.280;1.140;1.560;0.1100;0.1400;0.3700;0.1000;0.4400;27.40;0.0000;30.00;70;0.00279;52.72;2.5065;12.00;0.00000;0.694;0.03574;0.00;173.00;100;2.0353;6.2293;6.2293
25410;425.00;15.30;118.00;132.00;88.10;0.1500;0.540;0.0500;0.6100;5.060;12.60;19.10;1.700;182.00;1.3000;62.600;7.500;3.3800;1.1100;0.7900;0.0330;0.00280;0.00500;17.40;149.00;0.730;1.240;1.590;0.1900;0.1900;0.3700;0.1100;0.3400;30.40;0.0000;15.20;70;0.00780;29.82;3.0706;14.00;0.00000;0.509;0.03084;0.00;182.00;100;1.4270;8.7338;8.7338
25412;500.00;12.00;86.00;170.00;40.00;0.1900;0.420;0.0600;0.5400;10.000;10.00;25.00;2.400;294.00;1.5700;46.800;18.600;9.3900;1.7100;1.4600;0.2200;0.00500;0.00500;48.20;108.00;0.200;1.290;0.250;0.0900;0.0870;0.3900;0.0440;0.1900;7.40;0.0000;36.30;33;0.01000;57.20;1.9880;20.00;0.00000;0.394;0.02631;0.00;294.00;100;1.5600;5.9299;5.9299
25413;492.00;29.70;110.00;251.00;64.00;0.2200;1.230;0.0800;2.2600;5.000;13.00;28.10;3.630;246.00;1.8000;46.100;8.460;2.8200;0.5500;0.5200;0.0230;0.00095;0.00000;0.00;34.00;0.100;0.070;0.300;0.3500;0.1900;0.3700;0.1100;1.2000;17.00;0.0000;29.00;24;0.00095;2.83;5.5197;39.50;0.00000;0.929;0.30123;0.00;246.00;100;3.5443;13.2243;13.2243
25414;528.00;21.30;142.00;198.00;91.30;0.2000;1.200;0.0500;2.1000;6.640;15.00;23.10;5.470;267.00;1.8000;46.300;12.900;5.0700;1.3000;0.8700;0.1800;0.00000;0.00000;50.00;55.00;0.100;0.090;0.400;0.3200;0.1900;0.4200;0.3700;1.3100;7.00;0.0000;25.00;24;0.00000;54.58;6.1368;23.00;0.00000;1.029;0.17112;0.00;267.00;100;5.2925;13.5408;13.8374
25415;461.00;20.20;161.00;184.00;104.00;0.2000;1.400;0.1500;2.9000;6.600;2.50;21.50;1.680;299.00;0.5000;43.800;16.700;6.3200;1.6500;1.0800;0.3400;0.00550;0.00670;34.00;62.00;0.250;1.350;0.900;0.0890;0.1500;0.3500;0.2000;0.9900;28.90;0.0000;48.40;24;0.01220;39.17;5.6733;25.00;0.00000;1.183;0.21700;0.00;299.00;100;1.5120;15.3479;15.3479
25417;392.00;13.90;130.00;242.00;104.00;0.1300;0.630;0.0580;0.6200;2.950;10.00;21.80;3.200;216.00;1.7000;57.400;11.700;6.0000;0.9100;0.7400;0.1500;0.00280;0.00390;40.30;149.00;0.280;1.140;1.560;0.1100;0.1400;0.3700;0.1000;0.4400;27.40;0.0000;29.50;70;0.00670;52.72;2.3676;0.00;0.00000;0.630;0.00000;0.00;216.00;100;0.8220;4.8847;4.8847
25418;500.00;18.90;88.60;216.00;219.00;0.1700;1.200;0.0750;1.7000;5.290;5.00;14.00;2.600;234.00;7.6000;54.000;14.600;8.5000;0.9600;0.6700;0.1400;0.00760;0.00500;86.00;80.00;0.820;1.380;0.300;0.0870;0.1000;0.3500;0.0780;0.5000;7.40;0.0000;44.10;70;0.01260;92.67;2.2927;15.50;0.00000;1.124;0.07589;0.00;234.00;100;2.4050;7.7870;7.7870
25419;116.00;12.60;14.90;87.00;22.50;0.1500;0.400;0.1000;0.4500;5.000;25.00;18.00;3.600;109.00;1.2000;73.900;1.820;0.6400;0.4400;0.3400;0.0550;0.01000;0.00850;1.00;74.00;0.270;0.180;1.500;0.0200;0.0200;0.0800;0.1100;0.1600;8.00;0.0000;13.90;100;0.01850;7.17;1.5145;9.00;0.00000;0.387;0.01292;0.00;109.00;100;3.6000;4.4266;4.4266
25420;609.00;16.00;67.00;160.00;25.00;0.2000;0.900;0.1000;0.6200;4.380;1.00;23.10;3.020;224.00;2.5400;54.800;11.200;2.9000;2.7400;1.4100;0.0590;0.00053;0.00280;1.00;180.00;0.250;0.820;0.250;0.1100;0.0570;0.2500;0.1200;0.2200;23.10;0.0000;28.00;33;0.00333;16.00;2.6408;19.00;0.00000;0.812;0.08849;0.00;224.00;100;2.7896;6.3623;6.3623
25428;492.00;21.50;119.00;316.00;33.60;0.2000;0.950;0.2000;1.8000;6.640;3.00;17.40;1.100;233.00;2.3000;51.800;10.900;4.2900;0.7400;0.6600;0.0660;0.00000;0.00000;38.40;62.00;0.210;0.600;1.850;0.1300;0.1200;0.3900;0.1300;0.5300;19.70;0.0000;47.30;24;0.00000;43.57;4.6018;43.00;0.00000;0.697;0.25327;0.00;233.00;100;1.0179;15.0457;15.0457
25431;514.00;19.50;90.00;160.00;26.80;0.3100;0.830;0.0790;0.5300;11.300;17.70;32.00;1.400;274.00;1.7800;43.000;11.300;2.5400;5.6800;0.7600;0.1500;0.00720;0.03000;49.10;132.00;0.730;4.050;2.630;0.0510;0.0550;0.2800;0.1300;0.6300;19.00;0.0000;24.60;24;0.03720;60.10;4.7020;19.35;0.00000;0.772;0.05766;0.00;274.00;100;1.3000;10.0439;10.0439
25433;583.00;18.00;110.00;216.00;55.30;0.3000;1.100;0.0500;0.8000;18.000;20.00;15.10;2.550;275.00;3.0000;49.500;17.600;2.3000;4.7500;4.4300;0.0690;0.01600;0.03300;7.50;0.00;0.250;4.840;0.500;0.0640;0.1000;0.3500;0.1900;0.4300;33.00;0.0000;68.80;13;0.04900;7.50;3.5037;13.00;0.00000;0.705;0.39490;0.00;275.00;100;2.3470;12.2650;12.2650
25434;493.00;16.90;119.00;184.00;97.00;0.3000;1.100;0.0960;1.3000;6.640;10.00;24.40;2.030;243.00;1.4000;46.600;8.300;3.2700;0.8200;0.5600;0.1100;0.00270;0.00330;38.40;62.00;0.210;0.600;1.850;0.1300;0.1200;0.3900;0.1300;0.5300;19.70;0.0000;37.60;24;0.00600;43.57;6.5366;16.50;0.00000;1.026;0.07405;0.00;243.00;100;1.9150;16.7847;16.7847
25435;608.00;24.40;170.00;234.00;174.00;0.2000;0.700;0.0500;1.4000;8.000;6.00;28.00;2.910;218.00;2.3400;45.300;6.690;3.2000;1.0000;0.8700;0.0960;0.00000;0.00470;43.00;100.00;0.250;1.100;1.450;0.1800;0.1200;0.3700;0.2000;0.4600;17.00;0.0000;20.30;70;0.00470;51.33;4.0537;16.00;0.00000;0.654;0.04570;0.00;218.00;100;2.8365;10.1113;10.1113
25437;361.00;24.30;297.00;122.00;400.00;0.1500;1.180;0.1400;2.2600;8.240;26.70;19.90;0.770;382.00;1.5300;33.200;26.400;15.7000;1.6200;1.2000;0.1300;0.02400;0.02400;272.00;116.00;0.890;0.970;0.000;0.0760;0.3500;0.7600;0.1100;0.9800;37.40;0.0000;213.00;100;0.04800;281.67;3.5629;0.00;0.00000;1.180;0.00000;0.00;382.00;100;0.7700;15.1851;15.1851
25438;565.00;21.50;115.00;183.00;32.80;0.1500;1.030;0.1300;0.9000;9.350;12.90;8.22;0.700;186.00;0.5900;65.100;11.500;2.7700;4.9600;1.7800;0.0600;0.03300;0.03500;45.70;88.20;0.510;4.950;2.930;0.0570;0.1200;0.6000;0.1900;0.6700;16.60;0.0000;85.30;33;0.06800;53.05;5.2934;41.20;0.00000;0.870;0.16015;0.00;186.00;100;0.0000;12.1392;12.1392
25444;427.00;16.00;151.00;110.00;170.00;0.2300;0.540;0.0600;0.8200;9.000;10.00;20.70;1.630;289.00;1.5700;53.500;18.000;9.9300;1.5400;1.4500;0.0700;0.00000;0.02000;66.20;149.00;1.060;1.340;0.210;0.0500;0.1600;0.3700;0.0700;0.4600;13.70;0.0000;59.10;70;0.02000;78.62;3.4370;0.00;0.00000;0.540;0.00000;0.00;289.00;100;0.2010;10.1886;10.1886
25445;61.00;15.20;288.00;161.00;72.00;0.0500;0.900;0.5000;0.6000;8.000;60.00;29.20;18.400;253.00;7.5000;44.800;13.300;7.3700;0.6500;0.4969;0.0647;0.00238;0.00242;133.00;30.00;0.600;1.020;0.000;0.0700;0.2300;0.3000;0.0700;0.2000;27.00;0.0000;197.00;70;0.00480;135.50;1.4836;0.00;0.00000;0.900;0.00000;0.00;253.00;100;14.9206;4.1675;4.1675
25472;452.00;20.00;130.00;200.00;120.00;0.2500;0.610;0.1000;0.9200;10.000;10.00;25.20;2.890;211.00;2.4100;51.800;8.000;3.1000;1.1000;0.9500;0.1500;0.00500;0.00500;29.70;153.00;0.030;0.730;1.520;0.0900;0.0900;0.2900;0.0990;0.3000;25.80;0.0000;19.00;70;0.01000;42.45;2.8501;0.00;0.00000;0.610;0.00000;0.00;211.00;100;2.8900;8.0817;8.0817
25475;569.00;19.20;108.00;186.00;24.60;0.3000;0.970;0.0930;0.8400;8.610;7.49;30.90;2.550;222.00;1.8800;49.100;5.980;3.0100;0.5500;0.4000;0.0810;0.00200;0.00240;42.90;179.00;0.200;0.430;5.770;0.2000;0.1100;0.3900;0.1300;0.1600;22.80;0.0000;44.10;24;0.00440;57.82;3.3229;21.00;0.00000;0.887;0.08311;0.00;222.00;100;2.4512;9.8396;9.8396
25476;535.00;20.20;96.70;167.00;27.40;0.3500;1.040;0.1400;0.7100;9.390;16.60;35.10;2.840;252.00;2.2200;43.300;7.440;1.4300;3.0500;1.1600;0.3900;0.00250;0.00500;1.85;111.00;0.069;2.560;3.610;0.0700;0.0660;0.4100;0.1500;0.0800;20.40;0.0000;23.30;24;0.00750;11.10;3.9293;21.40;0.00000;0.984;0.05564;0.00;252.00;100;2.7316;9.9640;9.9640
25478;548.00;22.00;176.00;141.00;267.00;0.2300;0.810;0.0600;0.8200;9.000;8.80;26.70;3.560;244.00;2.3100;48.300;9.850;5.3900;0.9900;0.7700;0.0920;0.00360;0.00500;46.00;149.00;0.050;1.080;3.640;0.1400;0.1400;0.3700;0.1500;0.2800;52.90;0.0000;28.50;70;0.00860;58.42;4.3850;0.00;0.00000;0.810;0.00000;0.00;244.00;100;3.0763;10.8861;10.8861
25488;742.00;21.80;118.00;178.00;26.50;0.3900;0.910;0.1500;0.6000;11.200;28.30;40.90;2.660;265.00;2.4000;37.400;5.600;2.4900;1.1400;0.3700;0.0740;0.42000;0.27000;26.10;7.20;2.280;0.700;2.840;0.1000;0.0620;0.3800;0.2300;0.9000;21.30;0.0000;15.80;24;0.69000;26.70;4.5292;19.50;0.00000;0.846;0.06370;0.00;265.00;100;1.9678;11.1524;11.1524
25503;451.00;18.80;91.20;144.00;70.10;0.0800;1.200;0.1300;0.7800;4.950;28.70;13.70;2.440;208.00;1.0500;63.100;13.800;7.4100;0.7900;0.4000;0.0650;0.10000;0.21000;80.30;21.30;0.770;1.120;0.900;0.0680;0.1100;0.3800;0.0790;1.2500;10.50;0.0000;44.10;33;0.31000;82.08;2.4260;32.00;0.00000;1.062;0.13786;0.00;208.00;100;2.1400;6.6807;6.6807
25504;210.00;22.20;151.00;239.00;14.00;0.0230;1.000;0.0420;0.8500;9.760;4.17;5.10;1.010;184.00;0.3400;64.200;9.610;1.5200;5.1900;1.1800;0.0890;0.00690;0.00890;2.05;76.50;0.060;0.640;9.460;0.0540;0.1300;0.7100;0.3300;0.5600;9.43;0.0000;56.90;0;0.01580;8.43;9.2229;71.50;0.00000;0.821;0.17875;0.00;184.00;100;1.0100;19.1898;19.1898
25505;174.00;21.00;172.00;307.00;7.80;0.0210;1.800;0.0620;1.1700;7.020;4.48;3.77;1.010;207.00;0.5500;62.600;12.900;2.7400;5.5900;1.5900;0.1200;0.00920;0.01200;0.00;76.50;0.000;0.660;9.460;0.0620;0.2100;0.2800;0.3200;1.3900;14.20;0.0000;42.80;0;0.02120;6.38;7.1566;69.50;0.00000;1.024;0.77562;0.00;207.00;100;1.0100;18.8890;18.8890
25506;247.00;21.40;162.00;273.00;10.90;0.0220;1.400;0.0520;1.0100;8.360;4.32;1.27;1.010;209.00;0.3300;63.400;13.800;2.5100;6.8200;1.7000;0.1300;0.00990;0.01300;1.03;76.50;0.030;0.650;9.460;0.0580;0.1700;0.4900;0.3200;0.9800;11.50;0.0000;49.60;0;0.02290;7.41;7.8702;80.00;0.00000;0.706;0.69440;0.00;209.00;100;1.0100;19.6911;19.6911
25508;512.00;14.60;114.00;126.00;115.00;0.1700;0.430;0.0750;0.7700;2.290;11.50;27.80;3.650;299.00;1.9000;43.400;16.700;10.8000;0.7700;0.5500;0.0950;0.00870;0.00067;131.00;73.70;1.050;2.100;0.950;0.0990;0.1000;0.2900;0.0780;0.2900;7.29;0.0000;23.60;70;0.00937;137.14;2.4029;10.00;0.00000;0.412;0.01754;0.00;299.00;100;3.3928;8.2994;8.2994
25509;511.00;21.70;400.00;73.00;517.00;0.0500;0.300;0.3000;2.0000;2.500;10.00;2.60;1.100;242.00;0.7000;57.400;17.200;11.6000;0.4100;0.2800;0.1300;0.00000;0.00000;126.00;29.50;0.250;0.350;0.000;0.0200;0.2100;0.1200;0.0650;0.8300;8.00;1.5500;73.60;100;0.00000;128.46;3.4084;0.00;0.00000;0.300;0.00000;0.00;242.00;100;1.1000;16.1945;15.8946
25510;402.00;18.80;39.00;184.00;5.10;1.4000;0.700;0.1400;0.5000;5.000;60.00;34.10;1.100;178.00;1.7500;55.500;2.050;0.2300;0.9300;0.9100;0.0210;0.00000;0.00000;1.00;2.50;0.250;0.920;0.250;0.0840;0.0200;0.2400;0.1200;0.1500;27.10;0.0000;129.00;60;0.00000;1.21;2.6161;0.00;0.00000;0.700;0.00000;0.00;178.00;100;0.9000;4.7595;4.7595
25511;305.00;14.10;77.60;184.00;27.10;0.0960;0.560;0.1000;0.6300;2.580;7.25;3.60;2.550;91.90;1.3400;81.100;6.220;1.7400;1.1800;0.6300;0.0570;0.00420;0.00640;10.30;93.20;0.088;0.550;4.860;0.1000;0.1300;0.4600;0.1100;0.1800;21.20;0.0000;30.80;100;0.01060;18.07;2.1861;16.00;0.00000;0.523;0.03656;0.00;91.90;100;2.2428;4.6406;4.6406
25512;676.00;24.00;225.00;215.00;16.40;0.1500;0.600;0.0560;0.6600;5.880;12.40;18.40;0.570;248.00;1.7000;51.500;13.200;2.4200;3.4500;2.6500;0.1300;0.00000;0.00490;7.50;87.40;0.250;2.590;0.000;0.1100;0.0860;0.7200;0.2700;0.2100;19.30;0.0000;52.10;14;0.00490;14.78;8.4886;65.00;0.00000;0.503;0.09750;0.00;248.00;100;0.5158;13.0743;13.0743
25513;428.00;26.10;59.80;157.00;37.90;0.2000;0.690;0.0530;0.3300;3.830;7.27;30.30;3.200;215.00;1.9800;51.100;6.480;0.9800;0.8100;0.4400;0.0880;0.00210;0.00260;14.50;150.00;0.590;1.560;12.200;0.0550;0.0710;0.3100;0.1300;0.8600;25.50;0.0000;23.80;24;0.00470;27.00;3.0100;9.50;0.00000;0.666;0.02353;0.00;215.00;100;3.0447;7.7307;7.7307
25515;597.00;19.00;173.00;208.00;112.00;0.1600;1.200;0.0500;0.6700;1.600;7.00;23.40;1.600;229.00;1.5000;51.900;9.980;4.3000;1.0000;0.6837;0.0887;0.00419;0.00893;56.00;80.00;0.800;0.560;4.000;0.2200;0.2300;0.4000;0.1400;0.5000;25.00;0.0000;31.00;70;0.01312;62.67;4.6364;8.60;0.00000;1.158;0.04211;0.00;229.00;100;1.6000;11.0805;11.0805
25516;584.00;20.40;178.00;212.00;148.00;0.1800;0.940;0.0500;0.9800;3.500;10.60;24.50;3.750;219.00;2.0000;52.300;8.700;2.1300;0.6200;0.4239;0.0550;0.00260;0.00554;45.40;84.30;0.520;0.770;3.000;0.1900;0.1800;0.3300;0.1400;0.2530;28.60;0.0000;26.30;70;0.00814;52.43;3.5405;10.00;0.00000;0.902;0.03835;0.00;219.00;100;3.6883;10.5605;10.5605
25517;675.00;34.70;152.00;171.00;54.60;0.5500;0.950;0.1100;1.2200;3.410;5.65;34.30;2.350;284.00;2.3400;39.300;10.900;6.0800;0.8200;0.6600;0.1700;0.00000;0.00500;71.40;20.00;0.210;0.400;3.090;0.3100;0.1000;0.3200;0.1700;0.1500;17.00;0.0000;38.80;24;0.00500;73.07;4.1478;30.00;0.00000;0.834;0.11628;0.00;284.00;100;1.5086;10.7261;10.7261
25518;670.00;20.60;150.00;111.00;137.00;0.3400;0.700;0.1100;1.4200;4.020;6.31;34.30;2.180;339.00;1.9200;32.900;16.700;10.4000;0.7100;0.5800;0.1200;0.00280;0.00340;153.00;68.60;0.210;0.520;0.000;0.0620;0.2000;0.4100;0.1300;0.6800;40.40;0.0000;45.10;24;0.00620;158.72;3.1658;0.00;0.00000;0.700;0.00000;0.00;339.00;100;2.1300;11.6302;11.6302
25519;712.00;18.10;119.00;143.00;26.20;0.3600;2.490;0.2600;1.1700;5.020;4.99;32.20;2.450;299.00;1.9900;39.800;13.900;6.1200;1.4300;0.9400;0.1900;0.00460;0.00560;1340.00;52.00;0.250;0.360;1.670;0.1200;0.3300;0.9900;0.1400;1.0000;37.80;0.0000;49.50;24;0.01020;1344.33;5.1040;32.00;0.00000;2.165;0.32509;0.00;299.00;100;1.6084;9.8590;9.8590
25520;944.00;22.20;129.00;224.00;29.10;0.3600;1.090;0.1200;1.3400;3.560;4.75;33.70;2.300;379.00;2.4900;26.600;20.500;9.4200;1.9700;1.7400;0.2300;0.00000;0.00500;70.90;20.00;0.120;0.430;2.000;0.3200;0.1200;0.4200;0.2400;0.3000;18.00;0.0000;50.50;24;0.00500;72.57;5.3467;30.00;0.00000;0.957;0.13342;0.00;379.00;100;1.4206;13.4324;13.4324
25521;628.00;23.20;242.00;152.00;188.00;0.3000;0.830;0.1200;1.7900;5.030;9.93;31.00;2.330;301.00;2.5000;37.500;13.200;7.6200;0.8700;0.6900;0.1700;0.00000;0.00500;103.00;31.70;0.360;0.420;2.330;0.2500;0.1400;0.3100;0.1400;0.4700;15.80;0.0000;50.60;24;0.00500;105.64;4.2329;25.00;0.00000;0.745;0.08466;0.00;301.00;100;2.1377;13.1693;13.1693
25522;624.00;25.80;163.00;169.00;64.30;0.4200;0.940;0.1150;1.2100;6.200;8.80;31.40;2.000;282.00;1.7000;41.400;12.400;5.3000;2.9600;1.8835;0.3713;0.03679;0.02999;145.00;62.20;0.270;1.810;2.900;0.2500;0.1100;0.4500;0.1500;0.2200;21.20;0.0200;36.50;24;0.06677;150.18;4.4727;20.00;0.00000;0.843;0.09663;0.00;282.00;100;1.6581;10.9913;10.9913
25523;445.00;23.40;181.00;152.00;153.00;0.1800;1.790;0.0960;1.3800;3.770;6.06;17.80;4.600;233.00;2.8000;55.100;13.300;6.3700;1.3000;1.1400;0.1600;0.00000;0.00000;446.00;41.40;0.320;0.420;1.570;0.2700;0.2700;0.6000;0.1600;0.7200;26.10;0.0000;57.20;24;0.00000;449.45;5.1795;24.00;0.00000;1.615;0.17528;0.00;233.00;100;3.2000;8.9236;8.9236
25524;188.00;13.10;33.00;247.00;23.00;0.1800;0.670;0.0680;0.2200;0.930;2.55;7.02;2.900;77.60;2.0000;83.600;4.320;0.9400;0.6000;0.2700;0.0580;0.00086;0.00390;11.00;1480.00;0.010;1.640;21.500;0.0630;0.0380;0.3200;0.1100;0.0000;22.20;0.0000;4.00;60;0.00476;134.33;0.8739;0.00;0.00000;0.670;0.00000;0.00;77.60;100;2.9000;1.5675;1.5675
25530;426.00;16.60;75.90;153.00;26.60;0.3100;0.870;0.0920;0.5400;6.770;16.90;30.00;2.670;221.00;2.1800;52.000;7.900;1.6900;3.7600;0.5300;0.1100;0.00260;0.00320;16.60;672.00;0.170;2.880;7.020;0.0620;0.0740;0.3700;0.0920;0.1300;31.10;0.0000;37.60;24;0.00580;72.60;1.9493;0.00;0.00000;0.870;0.00000;0.00;221.00;100;2.5707;6.2225;6.2225
25531;446.00;19.80;108.00;174.00;23.30;0.3000;0.990;0.0960;0.9700;12.900;16.90;30.60;2.240;255.00;1.8600;44.900;8.820;1.9400;4.4900;0.6000;0.1200;0.00290;0.00350;1.68;111.00;0.050;3.140;3.110;0.0700;0.0830;0.4300;0.1600;0.3200;19.50;0.0000;28.50;24;0.00640;10.93;4.6781;19.00;0.00000;0.943;0.04703;0.00;255.00;100;2.1409;12.1183;12.1183
25532;457.00;16.40;101.00;135.00;33.60;0.3100;1.080;0.0920;0.6800;8.600;23.50;30.90;2.380;247.00;1.8900;47.700;9.470;2.1800;3.9700;0.6400;0.1300;0.00310;0.00380;44.80;135.00;0.430;2.990;3.310;0.0700;0.1400;0.5500;0.0920;0.3000;39.00;0.0000;95.70;24;0.00690;56.05;2.3003;0.00;0.00000;1.080;0.00000;0.00;247.00;100;2.2808;8.2391;8.2391
25533;449.00;19.20;125.00;178.00;21.60;0.3000;0.980;0.0910;1.0000;10.400;16.20;30.10;2.300;267.00;1.8600;44.000;10.600;2.6100;4.4900;0.7200;0.1400;0.00350;0.00430;1.68;111.00;0.050;3.140;3.110;0.2100;0.1000;0.3700;0.1600;0.4500;19.90;0.0000;29.50;24;0.00780;10.93;3.9836;19.00;0.00000;0.865;0.11544;0.00;267.00;100;2.2034;11.6712;11.6712
