codal;na;mg;P;k;Ca;Mn;Fe;Cu;Zn;Se;Iode;glucides;glus;energie;fibres;eau;lipides;ags;agp;LAom6;ALAom3;om3epa;om3dha;ret;bcar;vitd;vite;vitc;vitb1;vitb2;vitb5;vitb6;vitb12;vitb9;alcool;chol;Phytates;epadha;vita;vitb3_en;MFP;eq_thenoir;fer_nonhem;fer_hem;mg_dis;energie_d;qte_d;glus_slac;proteines_d;proteines_N_d
90086;393.00;34.00;519.00;81.00;771.00;0.0500;0.120;0.0500;3.0600;8.000;20.00;0.00;0.000;351.00;0.0000;41.500;26.600;16.5000;1.1200;0.3900;0.1500;0.00830;0.00000;240.00;100.00;0.200;0.500;0.000;0.0400;0.2800;0.3000;0.0700;1.9000;20.00;0.0000;97.00;0;0.00830;248.33;5.5618;0.00;0.00000;0.120;0.00000;0.00;351.00;100;0.0000;26.3000;25.8000
90095;552.00;19.30;331.00;148.00;449.00;0.0160;0.180;0.0300;2.5000;5.760;18.60;0.00;0.000;276.00;0.0000;55.400;21.100;13.9000;0.5700;0.3600;0.1300;0.00880;0.00000;163.00;84.00;0.520;0.570;0.000;0.0450;0.5400;0.8300;0.2500;1.0100;84.60;0.0000;72.30;0;0.00880;170.00;6.6314;0.00;0.00000;0.180;0.00000;0.00;276.00;100;0.0000;21.3000;20.9000
90098;647.00;21.50;428.00;216.00;477.00;0.0170;0.610;0.2600;3.6100;6.700;20.00;3.00;3.000;274.00;0.0000;54.100;23.400;14.5000;0.9700;0.4100;0.1200;0.00000;0.00000;201.00;63.00;0.480;0.340;0.000;0.0140;0.2800;0.2600;0.0360;1.2300;6.00;0.0000;85.00;0;0.00000;206.25;1.2211;0.00;0.00000;0.610;0.00000;0.00;274.00;100;0.0000;5.5600;5.4500
90102;635.00;22.50;325.00;122.00;394.00;0.0480;0.130;0.0600;2.7000;6.800;17.40;0.10;0.100;315.00;0.0000;51.100;25.800;16.2000;0.7500;0.4345;0.1231;0.01020;0.00104;203.00;162.00;0.285;0.580;0.000;0.0400;0.5700;0.7600;0.2400;1.8500;79.20;0.0000;75.00;0;0.01124;216.50;5.0764;0.00;0.00000;0.130;0.00000;0.00;315.00;100;0.0000;20.5000;20.0823
90103;496.00;14.00;111.00;119.00;104.00;0.0240;0.250;0.0500;2.0000;7.000;20.00;2.00;2.000;229.00;0.0000;67.500;21.200;11.5000;0.8200;0.0000;0.0000;0.00140;0.00000;162.00;54.00;0.200;0.500;0.000;0.0400;0.2200;0.4700;0.0800;0.3900;3.40;0.0000;55.90;0;0.00140;166.50;1.4644;0.00;0.00000;0.250;0.00000;0.00;229.00;100;1.3333;7.6500;7.4900
90104;511.00;28.00;380.00;150.00;274.00;0.0200;0.250;0.5000;2.5000;7.000;20.00;3.50;3.000;156.00;0.0000;68.900;9.000;5.8000;0.4000;0.1664;0.0614;0.00157;0.00058;90.00;70.00;0.200;0.220;1.100;0.0400;0.4500;0.4700;0.0800;1.7000;100.00;0.0000;31.00;0;0.00215;95.83;2.7289;0.00;0.00000;0.250;0.00000;0.00;156.00;100;0.0000;15.3000;14.9882
90106;610.00;18.00;250.00;117.00;50.00;0.0500;0.200;0.0500;2.0000;6.700;20.00;2.00;1.770;320.00;0.0000;53.800;30.300;18.6000;0.9200;0.4600;0.1700;0.01200;0.00000;300.00;74.90;0.260;0.630;0.000;0.0900;0.3200;0.4700;0.0400;0.9000;11.80;0.0000;105.00;0;0.01200;306.24;2.2402;0.00;0.00000;0.200;0.00000;0.00;320.00;100;0.1011;8.8200;8.6400
90109;506.00;7.60;178.00;123.00;76.20;0.0500;0.160;0.0500;0.8000;4.100;10.00;3.44;2.500;314.00;0.0000;59.800;29.800;18.4000;1.4700;0.5100;0.1500;0.01300;0.00000;232.00;54.00;0.400;0.660;0.500;0.0200;0.1700;0.2600;0.0500;0.2400;28.00;0.0000;69.30;0;0.01300;236.50;1.9762;0.00;0.00000;0.160;0.00000;0.00;314.00;100;1.6642;8.1200;7.9600
90110;622.00;22.00;750.00;199.00;388.00;0.0410;0.270;0.3500;2.6000;8.000;19.40;6.46;6.460;278.00;0.0000;52.600;21.400;14.3000;0.6400;0.3700;0.1400;0.00810;0.00000;223.00;74.90;0.250;0.630;0.000;0.0900;0.3600;0.4000;0.0250;0.9000;7.00;0.0000;59.50;0;0.00810;229.24;2.9204;0.00;0.00000;0.270;0.00000;0.00;278.00;100;0.0000;12.9000;12.7000
90112;617.00;15.20;359.00;90.00;329.00;0.0200;0.150;0.0700;6.2000;5.800;31.50;0.90;0.430;312.00;0.0000;51.900;26.000;18.2000;0.6000;0.3476;0.0985;0.00816;0.00083;200.00;100.00;1.000;0.600;0.670;0.0100;0.3500;0.2000;0.0600;1.9000;16.00;0.0000;65.20;0;0.00899;208.33;3.8510;0.00;0.00000;0.150;0.00000;0.00;312.00;100;0.3799;18.7000;18.3190
